source;target;weight;sha1;average_hash
RAPMAGHollande;philipo6975;4;525f88fdb78ecdad323622fd74b64cd6376f04f1;0000000000000000
ObsGender;RCorler;1;21f5f2f829719762feba6a7cf1543438f772990a;0000ffff00207c7c
LeTelegramme;titrespresse;3;cdd1aa7293548cb225dcec5f63202a36ee6c4e3c;00181818180cccdc
lemoteur_trends;toptrendpreprod;1;b3edd40fe3cc63c9865df879ec2d55b03bc978c2;0022fbfffffbc988
PolitiqueDirect;PolitiqueInfos;1;0bb2a3150b1a28944dd3aad69ef5008e30f84667;002f1f1f1f1f7f00
PolitiqueDirect;infoPolitique;1;0bb2a3150b1a28944dd3aad69ef5008e30f84667;002f1f1f1f1f7f00
PolitiqueInfos;infoPolitique;1;0bb2a3150b1a28944dd3aad69ef5008e30f84667;002f1f1f1f1f7f00
Europe1;stefrossiyellow;5;ee4130859953b5b5844fb7d471287173c82befed;0034feff7d1c1c1e
Europe1;JeanLogronos;5;ee4130859953b5b5844fb7d471287173c82befed;0034feff7d1c1c1e
JeanLogronos;stefrossiyellow;5;ee4130859953b5b5844fb7d471287173c82befed;0034feff7d1c1c1e
Europe1;Fawkes_Family;1;ee4130859953b5b5844fb7d471287173c82befed;0034feff7d1c1c1e
Fawkes_Family;stefrossiyellow;1;ee4130859953b5b5844fb7d471287173c82befed;0034feff7d1c1c1e
Fawkes_Family;JeanLogronos;1;ee4130859953b5b5844fb7d471287173c82befed;0034feff7d1c1c1e
NicolasTJ;davidperrotin;1;4a111b4df1130275ebb8dbe39c89e4be16ee7e3b;003f7fffffbfbf00
MoloQc;aufeminin;2;1b69cdd99dd3d193f3754dea4865d21fe8065ee7;0066667e7e3e1c1c
TeamSarkozy_;stephane_unicom;1;bf86135e122ebca36fcc221f9c0d7fa38c4ab11c;00dc787e3e7f7f7e
Kampuchea;stephane_unicom;1;bf86135e122ebca36fcc221f9c0d7fa38c4ab11c;00dc787e3e7f7f7e
Kampuchea;TeamSarkozy_;1;bf86135e122ebca36fcc221f9c0d7fa38c4ab11c;00dc787e3e7f7f7e
GuillaumeS06;stephane_unicom;1;7a2aa4d63840c65057a88cb17186d5e2de33ac68;00dc787e3e7f7f7e
GuillaumeS06;TeamSarkozy_;1;7a2aa4d63840c65057a88cb17186d5e2de33ac68;00dc787e3e7f7f7e
GuillaumeS06;Kampuchea;1;7a2aa4d63840c65057a88cb17186d5e2de33ac68;00dc787e3e7f7f7e
InTheFameFR;NathBlog;1;132711cefadf851b6a26c8531bc45f8e07889fc2;00f9ffff8af0f000
JAUDY;Makitapen;1;c52a9ff2530a93a620bf0f7b9f26219745770ce1;00ffef253139fdff
coolmadgick1;guireferee;1;aae1fbca4d833f41e8650fa4a509cd82b4200579;00ffffffffffff00
Adrienne2_0;coolmadgick1;1;0e201bc456c71072962f464e172619a6b190ba30;00ffffffffffff00
Adrienne2_0;guireferee;1;0e201bc456c71072962f464e172619a6b190ba30;00ffffffffffff00
J_de_Rubempre;coolmadgick1;1;48683a1e8af073e238322d800b6a0ede2653801d;00ffffffffffff00
J_de_Rubempre;guireferee;1;48683a1e8af073e238322d800b6a0ede2653801d;00ffffffffffff00
Adrienne2_0;J_de_Rubempre;1;48683a1e8af073e238322d800b6a0ede2653801d;00ffffffffffff00
Doespirito;Valeurs;2;4d71bd1f7b262724ca2064629da82ced7e349761;010f0d070105e6e6
OuestFrance;PSimonOF;2;078d0796a4fad5c425fe47508009de8ac9b957ba;02020ec6c797ff3f
OuestFrance;titrespresse;2;eb1fd366fdd1a25eec87ecd6aac024a6e85874c5;02020ec6c797ff3f
PSimonOF;titrespresse;1;eb1fd366fdd1a25eec87ecd6aac024a6e85874c5;02020ec6c797ff3f
Fanysum;OuestFrance;2;bc7f14551f40258ac547c2dce64feb77437e1ba3;02020ec6c797ff3f
Fanysum;PSimonOF;1;bc7f14551f40258ac547c2dce64feb77437e1ba3;02020ec6c797ff3f
Fanysum;titrespresse;1;bc7f14551f40258ac547c2dce64feb77437e1ba3;02020ec6c797ff3f
OuestFrance;emmanuelmauger;2;0794c44eed0406dcb8cb305be31f339c3c8fb933;02020ec6c797ff3f
PSimonOF;emmanuelmauger;1;0794c44eed0406dcb8cb305be31f339c3c8fb933;02020ec6c797ff3f
emmanuelmauger;titrespresse;1;0794c44eed0406dcb8cb305be31f339c3c8fb933;02020ec6c797ff3f
Fanysum;emmanuelmauger;1;0794c44eed0406dcb8cb305be31f339c3c8fb933;02020ec6c797ff3f
Limportant_fr;monde_libre;6;f9dc2d910e6c48cdc6665cfbfd4eb977337adfd4;02020ec6c7b7ff3f
_Centaure;monde_libre;1;7969cce2771c5059c1924d8c0bc965c90b0910ed;02020ec6c7b7ff3f
Limportant_fr;_Centaure;11;7969cce2771c5059c1924d8c0bc965c90b0910ed;02020ec6c7b7ff3f
monde_libre;perlici1;1;d6417dbb9d83d336766b11c26a5736cee76fc993;02020ec6c7b7ff3f
Limportant_fr;perlici1;6;d6417dbb9d83d336766b11c26a5736cee76fc993;02020ec6c7b7ff3f
_Centaure;perlici1;1;d6417dbb9d83d336766b11c26a5736cee76fc993;02020ec6c7b7ff3f
monde_libre;revuedepresse30;3;7969cce2771c5059c1924d8c0bc965c90b0910ed;02020ec6c7b7ff3f
Limportant_fr;revuedepresse30;6;7969cce2771c5059c1924d8c0bc965c90b0910ed;02020ec6c7b7ff3f
_Centaure;revuedepresse30;1;7969cce2771c5059c1924d8c0bc965c90b0910ed;02020ec6c7b7ff3f
perlici1;revuedepresse30;1;7969cce2771c5059c1924d8c0bc965c90b0910ed;02020ec6c7b7ff3f
BWBreaking;MastaKongo;1;12782e3dca82ea73b1c56287bc13893e9062595e;020602030f0f0f0f
PerloTwitt;Rue89;1;cb5df80aaf0d503590020435ae12131b9b39dca3;020ec68787b7ff3e
1001portails;PerloTwitt;1;774c9bea3be28ff1e7512dde4388e0ed06060920;020ec68787b7ff3e
1001portails;Rue89;1;774c9bea3be28ff1e7512dde4388e0ed06060920;020ec68787b7ff3e
PerloTwitt;webissimo;1;774c9bea3be28ff1e7512dde4388e0ed06060920;020ec68787b7ff3e
Rue89;webissimo;1;774c9bea3be28ff1e7512dde4388e0ed06060920;020ec68787b7ff3e
1001portails;webissimo;1;774c9bea3be28ff1e7512dde4388e0ed06060920;020ec68787b7ff3e
PerloTwitt;team_wifiscan;1;774c9bea3be28ff1e7512dde4388e0ed06060920;020ec68787b7ff3e
Rue89;team_wifiscan;1;774c9bea3be28ff1e7512dde4388e0ed06060920;020ec68787b7ff3e
1001portails;team_wifiscan;1;774c9bea3be28ff1e7512dde4388e0ed06060920;020ec68787b7ff3e
team_wifiscan;webissimo;1;774c9bea3be28ff1e7512dde4388e0ed06060920;020ec68787b7ff3e
Fawkes_Family;lobs;2;8f8ab3aa8cb13f4e4a7c7a5d890865d87a6c4a73;020ec6c787b7ff3e
1001portails;lobs;2;8f8ab3aa8cb13f4e4a7c7a5d890865d87a6c4a73;020ec6c787b7ff3e
1001portails;Fawkes_Family;1;8f8ab3aa8cb13f4e4a7c7a5d890865d87a6c4a73;020ec6c787b7ff3e
fabienmorin;khad_et_belem;1;95136cf333ca77fdd6bfe3d1cffd9dd299446b4b;02236bcdffe5e5f8
Gardien_du_PAF;cavousf5;1;e30c2a70bc74a2fadc764e20705824710ce2ef87;03013c3c18000003
AleteiaFR;InfoCatho;5;51ed87968a7afdca50f8d303743fc3b4b07dc28f;050080c4c7070707
LaTarzanne;_LeNantais;1;fd08b4214d0a5da8e447ea684a16c98d7e99e483;061c7c786042187f
LaTarzanne;dr_publisher1;1;cdd1ebda508b83843e92dcfb854578f16626c8f1;061c7c786042187f
_LeNantais;dr_publisher1;1;cdd1ebda508b83843e92dcfb854578f16626c8f1;061c7c786042187f
LaTarzanne;titrespresse;1;cdd1ebda508b83843e92dcfb854578f16626c8f1;061c7c786042187f
_LeNantais;titrespresse;1;cdd1ebda508b83843e92dcfb854578f16626c8f1;061c7c786042187f
dr_publisher1;titrespresse;1;cdd1ebda508b83843e92dcfb854578f16626c8f1;061c7c786042187f
Le_Che7;lsenegalo;1;31f26ced9d71b2b56cf91716faf9099dd28709a1;077c01e3677f013f
NouvelGenerales;sabinetrotoux1;1;836deba9b42073b881753b9b5709976e3dce7eac;084cc0024607070f
Massai_news;NouvelGenerales;1;836deba9b42073b881753b9b5709976e3dce7eac;084cc0024607070f
Massai_news;sabinetrotoux1;2;836deba9b42073b881753b9b5709976e3dce7eac;084cc0024607070f
1001portails;NouvelGenerales;3;836deba9b42073b881753b9b5709976e3dce7eac;084cc0024607070f
1001portails;sabinetrotoux1;1;836deba9b42073b881753b9b5709976e3dce7eac;084cc0024607070f
1001portails;Massai_news;1;836deba9b42073b881753b9b5709976e3dce7eac;084cc0024607070f
C_Panache;JohnJLMarshall;1;27de9961550dc1c6426009ebf8e4407ba86bb368;0b1b1b1b1b1b1f1f
VlaPoutine;monde_libre;1;bcf3996615ccf4cb6aee94f6fcc1ab3288f7f4ff;0c3ef0f1fb7e3e3c
CyberActualite;titrespresse;3;dccf2d3b8be71d34f17e282e4df32da6abb965df;0ce8c0024607070f
CyberActualite;LePoint;1;01bb2d1f0f1547b472103600c5265e6099eb8163;0ce8c0024607070f
LePoint;titrespresse;2;01bb2d1f0f1547b472103600c5265e6099eb8163;0ce8c0024607070f
Le_Figaro;TheScream666;14;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
3bdalkremaldoba;TheScream666;3;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
3bdalkremaldoba;Le_Figaro;3;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
AleteiaFR;TheScream666;6;c6aafe396d0ac3e5a62b4ac0810c6bb27fd6c7a3;0e02040323a3fbdf
AleteiaFR;Le_Figaro;6;c6aafe396d0ac3e5a62b4ac0810c6bb27fd6c7a3;0e02040323a3fbdf
3bdalkremaldoba;AleteiaFR;2;c6aafe396d0ac3e5a62b4ac0810c6bb27fd6c7a3;0e02040323a3fbdf
BlackSam242;TheScream666;3;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
BlackSam242;Le_Figaro;3;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
3bdalkremaldoba;BlackSam242;1;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
AleteiaFR;BlackSam242;2;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
MSNFrance;TheScream666;3;520ca9dfe5986e1ef1c0510f3424ad3c49d4e10a;0e02040323a3fbdf
Le_Figaro;MSNFrance;3;520ca9dfe5986e1ef1c0510f3424ad3c49d4e10a;0e02040323a3fbdf
3bdalkremaldoba;MSNFrance;1;520ca9dfe5986e1ef1c0510f3424ad3c49d4e10a;0e02040323a3fbdf
AleteiaFR;MSNFrance;2;520ca9dfe5986e1ef1c0510f3424ad3c49d4e10a;0e02040323a3fbdf
BlackSam242;MSNFrance;1;520ca9dfe5986e1ef1c0510f3424ad3c49d4e10a;0e02040323a3fbdf
QuantinGregory;TheScream666;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Le_Figaro;QuantinGregory;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3bdalkremaldoba;QuantinGregory;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
AleteiaFR;QuantinGregory;2;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
BlackSam242;QuantinGregory;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
MSNFrance;QuantinGregory;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3mranalroesan;TheScream666;3;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
3mranalroesan;Le_Figaro;3;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
3bdalkremaldoba;3mranalroesan;1;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
3mranalroesan;AleteiaFR;2;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
3mranalroesan;BlackSam242;1;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
3mranalroesan;MSNFrance;1;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
3mranalroesan;QuantinGregory;1;faf309c112910abc986332005b889cbe941a45ce;0e02040323a3fbdf
TheScream666;med391986;3;b702dc084c8de53dfc06ebcf23fd4a5bc7ad3199;0e02040323a3fbdf
Le_Figaro;med391986;3;b702dc084c8de53dfc06ebcf23fd4a5bc7ad3199;0e02040323a3fbdf
3bdalkremaldoba;med391986;1;b702dc084c8de53dfc06ebcf23fd4a5bc7ad3199;0e02040323a3fbdf
AleteiaFR;med391986;2;b702dc084c8de53dfc06ebcf23fd4a5bc7ad3199;0e02040323a3fbdf
BlackSam242;med391986;1;b702dc084c8de53dfc06ebcf23fd4a5bc7ad3199;0e02040323a3fbdf
MSNFrance;med391986;1;b702dc084c8de53dfc06ebcf23fd4a5bc7ad3199;0e02040323a3fbdf
QuantinGregory;med391986;1;b702dc084c8de53dfc06ebcf23fd4a5bc7ad3199;0e02040323a3fbdf
3mranalroesan;med391986;1;b702dc084c8de53dfc06ebcf23fd4a5bc7ad3199;0e02040323a3fbdf
TheScream666;donboscoportal;3;3aab763b72b9d2fff187b7eb5e05a4e4a8b206c3;0e02040323a3fbdf
Le_Figaro;donboscoportal;3;3aab763b72b9d2fff187b7eb5e05a4e4a8b206c3;0e02040323a3fbdf
3bdalkremaldoba;donboscoportal;1;3aab763b72b9d2fff187b7eb5e05a4e4a8b206c3;0e02040323a3fbdf
AleteiaFR;donboscoportal;2;3aab763b72b9d2fff187b7eb5e05a4e4a8b206c3;0e02040323a3fbdf
BlackSam242;donboscoportal;1;3aab763b72b9d2fff187b7eb5e05a4e4a8b206c3;0e02040323a3fbdf
MSNFrance;donboscoportal;1;3aab763b72b9d2fff187b7eb5e05a4e4a8b206c3;0e02040323a3fbdf
QuantinGregory;donboscoportal;1;3aab763b72b9d2fff187b7eb5e05a4e4a8b206c3;0e02040323a3fbdf
3mranalroesan;donboscoportal;1;3aab763b72b9d2fff187b7eb5e05a4e4a8b206c3;0e02040323a3fbdf
donboscoportal;med391986;1;3aab763b72b9d2fff187b7eb5e05a4e4a8b206c3;0e02040323a3fbdf
TheScream666;iyad_shami;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Le_Figaro;iyad_shami;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3bdalkremaldoba;iyad_shami;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
AleteiaFR;iyad_shami;2;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
BlackSam242;iyad_shami;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
MSNFrance;iyad_shami;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
QuantinGregory;iyad_shami;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3mranalroesan;iyad_shami;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
iyad_shami;med391986;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
donboscoportal;iyad_shami;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
TheScream666;socialgnmedia;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Le_Figaro;socialgnmedia;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3bdalkremaldoba;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
AleteiaFR;socialgnmedia;2;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
BlackSam242;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
MSNFrance;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
QuantinGregory;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3mranalroesan;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
med391986;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
donboscoportal;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
iyad_shami;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LebbosBarbara;TheScream666;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Le_Figaro;LebbosBarbara;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3bdalkremaldoba;LebbosBarbara;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
AleteiaFR;LebbosBarbara;2;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
BlackSam242;LebbosBarbara;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LebbosBarbara;MSNFrance;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LebbosBarbara;QuantinGregory;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3mranalroesan;LebbosBarbara;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LebbosBarbara;med391986;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LebbosBarbara;donboscoportal;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LebbosBarbara;iyad_shami;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LebbosBarbara;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LOrientLeJour;TheScream666;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LOrientLeJour;Le_Figaro;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3bdalkremaldoba;LOrientLeJour;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
AleteiaFR;LOrientLeJour;2;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
BlackSam242;LOrientLeJour;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LOrientLeJour;MSNFrance;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LOrientLeJour;QuantinGregory;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3mranalroesan;LOrientLeJour;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LOrientLeJour;med391986;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LOrientLeJour;donboscoportal;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LOrientLeJour;iyad_shami;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LOrientLeJour;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LOrientLeJour;LebbosBarbara;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
TheScream666;nassdany;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Le_Figaro;nassdany;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3bdalkremaldoba;nassdany;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
AleteiaFR;nassdany;2;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
BlackSam242;nassdany;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
MSNFrance;nassdany;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
QuantinGregory;nassdany;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3mranalroesan;nassdany;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
med391986;nassdany;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
donboscoportal;nassdany;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
iyad_shami;nassdany;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
nassdany;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LebbosBarbara;nassdany;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
LOrientLeJour;nassdany;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
InfoCatho;TheScream666;3;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
InfoCatho;Le_Figaro;3;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
3bdalkremaldoba;InfoCatho;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
BlackSam242;InfoCatho;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
InfoCatho;MSNFrance;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
InfoCatho;QuantinGregory;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
3mranalroesan;InfoCatho;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
InfoCatho;med391986;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
InfoCatho;donboscoportal;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
InfoCatho;iyad_shami;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
InfoCatho;socialgnmedia;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
InfoCatho;LebbosBarbara;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
InfoCatho;LOrientLeJour;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
InfoCatho;nassdany;1;10465de354c2216fe61eb95c3d0fd7d810ec2d45;0e02040323a3fbdf
Faridppdp;TheScream666;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Faridppdp;Le_Figaro;3;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3bdalkremaldoba;Faridppdp;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
AleteiaFR;Faridppdp;2;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
BlackSam242;Faridppdp;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Faridppdp;MSNFrance;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Faridppdp;QuantinGregory;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
3mranalroesan;Faridppdp;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Faridppdp;med391986;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Faridppdp;donboscoportal;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Faridppdp;iyad_shami;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Faridppdp;socialgnmedia;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
Faridppdp;LebbosBarbara;1;d548051591154af640e6fda53e21e2b294c7b334;0e02040323a3fbdf
